citation_context,masked_cit_context,masked_token_target
"solution. The robust approach was initially developed and tested for English, but we have also adapted and tested it for Polish and Arabic. For both languages, we found that adaptation required minimum modification and that further, even if used unmodified, the approach delivers acceptable success rates. Preliminary evaluation reports high success rates in the range of and over 90% L Introduction: robust, knowledge poor anaphora resolution and multilingual NLP For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978;  Ingria and Stallard, 1989 ; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979). However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense. While various alternatives have been proposed, making use of e.g. neural networks, a situation semantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of pra","solution. The robust approach was initially developed and tested for English, but we have also adapted and tested it for Polish and Arabic. For both languages, we found that adaptation required minimum modification and that further, even if used unmodified, the approach delivers acceptable success rates. Preliminary evaluation reports high success rates in the range of and over 90% L Introduction: robust, knowledge poor anaphora resolution and multilingual NLP For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978;  <mask> ; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979). However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense. While various alternatives have been proposed, making use of e.g. neural networks, a situation semantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of pra","Ingria and Stallard, 1989"
".59 92.50 93.01 92.76 69.4 the-art for the Base NP chunking task. On the other hand, using a committee of ETL classifiers, we produce very competitive results and maintain the advantages of using a rule based system. Table 8: Base NP chunking using a committee of eight ETL classifiers. Accuracy Precision Recall Fβ=1 (%) (%) (%) (%) ETL 97.72 92.87 93.34 93.11 SVM – 94.15 94.29 94.22 3.3 English text chunking The data used in the English text chunking experiments is the CoNLL-2000 corpus, which is described in (Sang and Buchholz, 2000). It is composed by the same texts as the Ramshaw & Marcus ( Ramshaw and Marcus, 1999 ) corpus. Table 9 compares the results of ETL with DTs and TBL for English text chunking. ETL, even using a small window size, produces better results than DTs and TBL. The Fβ=1 of the ETLWS=3 classifier is 0.28% higher than the one of TBL and 2.17% higher than the one of the DT classifier. It is an interesting linguistic finding that the use of a window of size 3 652 (the current token, the previous token and the next token) provides the current best results for this task. type, of using a committee composed by the eight ETL classifiers reported in this section. Table 9: English text Chunking.",".59 92.50 93.01 92.76 69.4 the-art for the Base NP chunking task. On the other hand, using a committee of ETL classifiers, we produce very competitive results and maintain the advantages of using a rule based system. Table 8: Base NP chunking using a committee of eight ETL classifiers. Accuracy Precision Recall Fβ=1 (%) (%) (%) (%) ETL 97.72 92.87 93.34 93.11 SVM – 94.15 94.29 94.22 3.3 English text chunking The data used in the English text chunking experiments is the CoNLL-2000 corpus, which is described in (Sang and Buchholz, 2000). It is composed by the same texts as the Ramshaw & Marcus ( <mask> ) corpus. Table 9 compares the results of ETL with DTs and TBL for English text chunking. ETL, even using a small window size, produces better results than DTs and TBL. The Fβ=1 of the ETLWS=3 classifier is 0.28% higher than the one of TBL and 2.17% higher than the one of the DT classifier. It is an interesting linguistic finding that the use of a window of size 3 652 (the current token, the previous token and the next token) provides the current best results for this task. type, of using a committee composed by the eight ETL classifiers reported in this section. Table 9: English text Chunking.","Ramshaw and Marcus, 1999"
"l., 2012) is quite different from normalizing texts produced by non-professional internet users, i.e. UGC. In addition, the normalization of UGC may depend on the social media used. For example, there are substantial differences between short message texts (SMS and microblogs), on-line chats and users’ reviews. Short messages and chats deviate much more from the standard language than users’ reviews and are commonly regarded as “noisy texts”. The normalization processes of short messages, such as SMS and Twitter messages (Contractor et. al. 2010; Liu et al. 2011; Han et al., 2013; Bali, 2013;  Chrupała, 2014 ) and longer UGC texts, such as reviews and blogs, have much in common, but the differences are sufficiently significant to justify addressing them separately. Different normalization purposes may require the use of substantially different normalization procedures For example, converting text-tospeech requires the expansion of acronyms and abbreviations, as well as the conversion of numeric or mathematical expressions into words (Boros et al., 2012, Schlippe et al. 2012); conversely, normalization for purpose of storing data may perform the reduction of word forms into their stems. Even a “nois","l., 2012) is quite different from normalizing texts produced by non-professional internet users, i.e. UGC. In addition, the normalization of UGC may depend on the social media used. For example, there are substantial differences between short message texts (SMS and microblogs), on-line chats and users’ reviews. Short messages and chats deviate much more from the standard language than users’ reviews and are commonly regarded as “noisy texts”. The normalization processes of short messages, such as SMS and Twitter messages (Contractor et. al. 2010; Liu et al. 2011; Han et al., 2013; Bali, 2013;  <mask> ) and longer UGC texts, such as reviews and blogs, have much in common, but the differences are sufficiently significant to justify addressing them separately. Different normalization purposes may require the use of substantially different normalization procedures For example, converting text-tospeech requires the expansion of acronyms and abbreviations, as well as the conversion of numeric or mathematical expressions into words (Boros et al., 2012, Schlippe et al. 2012); conversely, normalization for purpose of storing data may perform the reduction of word forms into their stems. Even a “nois","Chrupała, 2014"
"xt. Interestingly, hierarchical phrase-based models provide this benefit without making any linguistic commitments beyond the structure of the model. However, the system's lack of linguistic commitment is also responsible for one of its greatest drawbacks. In the absence of linguistic knowledge, the system models linguistic structure using an SCFG that contains only one type of nonterminal symbol'. As a result, the system is susceptible to the overgeneration problem: the grammar may suggest more reordering choices than appropriate, and many of those choices lead to ungrammatical translations.  Chiang, 2005 ) hypothesized that incorrect reordering choices would often correspond to hierarchical phrases that violate syntactic boundaries in the source language, and he explored the use of a “constituent feature” intended to reward the application of hierarchical phrases which respect source language syntactic categories. Although this did not yield significant improvements, Marton and Resnik (2008) and Chiang et al. (2008) extended this approach by introducing soft syntactic constraints similar to the constituent feature, but more fine-grained and sensitive to distinctions among syntactic categories; ","xt. Interestingly, hierarchical phrase-based models provide this benefit without making any linguistic commitments beyond the structure of the model. However, the system's lack of linguistic commitment is also responsible for one of its greatest drawbacks. In the absence of linguistic knowledge, the system models linguistic structure using an SCFG that contains only one type of nonterminal symbol'. As a result, the system is susceptible to the overgeneration problem: the grammar may suggest more reordering choices than appropriate, and many of those choices lead to ungrammatical translations.  <mask> ) hypothesized that incorrect reordering choices would often correspond to hierarchical phrases that violate syntactic boundaries in the source language, and he explored the use of a “constituent feature” intended to reward the application of hierarchical phrases which respect source language syntactic categories. Although this did not yield significant improvements, Marton and Resnik (2008) and Chiang et al. (2008) extended this approach by introducing soft syntactic constraints similar to the constituent feature, but more fine-grained and sensitive to distinctions among syntactic categories; ","Chiang, 2005"
"tive provision of corrective feedback can contribute to the development of grammatical competence in second language learners ( Fathman and Whalley, 1990; Ashwell, 2000; Ferris and Robers, 2001; Chandler, 2003). Therefore developing a check tool which can automatically detect and correct * Corresponding author Chinese grammatical errors is a very important and useful work for foreigners to learn Chinese. And it helps to detect the wrong grammar from a large number of documents. Recently, there were a number of shared task of grammatical error correction for learners, including the CoNLL-2013 ( Ng et al., 2013 ), the CoNLL-2014 (Ng et al., 2014), the ICCE-2014 (Yu et al., 2014), the Chinese Grammatical Error Diagnosis (CGED) task, etc. These tasks have been organized to provide a common platform for comparing and developing automatic Chinese grammatical error diagnosis system. In NLP, grammar diagnosis is a difficult problem for sentence comprehension. In English, so much research is under way up to now and many learning assistance tools were developed by natural language processing technology to detect and correct the grammatical errors of EFL learners (Chodorow et al., 2012; Leacock et al, 2010). A","tive provision of corrective feedback can contribute to the development of grammatical competence in second language learners ( Fathman and Whalley, 1990; Ashwell, 2000; Ferris and Robers, 2001; Chandler, 2003). Therefore developing a check tool which can automatically detect and correct * Corresponding author Chinese grammatical errors is a very important and useful work for foreigners to learn Chinese. And it helps to detect the wrong grammar from a large number of documents. Recently, there were a number of shared task of grammatical error correction for learners, including the CoNLL-2013 ( <mask> ), the CoNLL-2014 (Ng et al., 2014), the ICCE-2014 (Yu et al., 2014), the Chinese Grammatical Error Diagnosis (CGED) task, etc. These tasks have been organized to provide a common platform for comparing and developing automatic Chinese grammatical error diagnosis system. In NLP, grammar diagnosis is a difficult problem for sentence comprehension. In English, so much research is under way up to now and many learning assistance tools were developed by natural language processing technology to detect and correct the grammatical errors of EFL learners (Chodorow et al., 2012; Leacock et al, 2010). A","Ng et al., 2013"
"gestures. In this vein, hand-coded gesture features have been used to improve sentence segmentation, showing that sentence boundaries are unlikely to overlap gestures that are in progress (Chen et al., 2006). Features that capture the start and end of gestures are shown to improve sentence segmentation beyond lexical and prosodic features alone. This idea of gestural features as a sort of visual punctuation has parallels in the literature on prosody, which we discuss in the next subsection. Finally, ambiguous noun phrases can be resolved by examining the similarity of co-articulated gestures ( Eisenstein and Davis, 2007 ). While noun phrase coreference can be viewed as a discourse processing task, we address the higher-level discourse phenomenon of topic segmentation. In addition, this prior work focused primarily on pointing gestures directed at pre-printed visual aids. The current paper presents a new domain, in which speakers do not have access to visual aids. Thus pointing gestures are less frequent than “iconic” gestures, in which the form of motion is the principle communicative feature (McNeill, 1992). Non-textual features for topic segmentation Research on non-textual features for topic segmentation ha","gestures. In this vein, hand-coded gesture features have been used to improve sentence segmentation, showing that sentence boundaries are unlikely to overlap gestures that are in progress (Chen et al., 2006). Features that capture the start and end of gestures are shown to improve sentence segmentation beyond lexical and prosodic features alone. This idea of gestural features as a sort of visual punctuation has parallels in the literature on prosody, which we discuss in the next subsection. Finally, ambiguous noun phrases can be resolved by examining the similarity of co-articulated gestures ( <mask> ). While noun phrase coreference can be viewed as a discourse processing task, we address the higher-level discourse phenomenon of topic segmentation. In addition, this prior work focused primarily on pointing gestures directed at pre-printed visual aids. The current paper presents a new domain, in which speakers do not have access to visual aids. Thus pointing gestures are less frequent than “iconic” gestures, in which the form of motion is the principle communicative feature (McNeill, 1992). Non-textual features for topic segmentation Research on non-textual features for topic segmentation ha","Eisenstein and Davis, 2007"
"balanced bootstrapping method performed slightly better than the standard bootstrapping method. This again shows that weighting the target instances more is a right direction to go for domain adaptation. 5 Related Work There have been several studies in NLP that address domain adaptation, and most of them need labeled data from both the source domain and the target domain. Here we highlight a few representative ones. For generative syntactic parsing, Roark and Bacchiani (2003) have used the source domain data to construct a Dirichlet prior for MAP estimation of the PCFG for the target domain.  Chelba and Acero, 2004 ) use the parameters of the maximum entropy model learned from the source domain as the means of a Gaussian prior when training a new model on the target data. Florian et al. (2004) first train a NE tagger on the source domain, and then use the tagger’s predictions as features for training and testing on the target domain. The only work we are aware of that directly mod270 POS NE Type Spam method Oncology CTS WL u00 u01 u02 supervised 0.8630 0.7781 0.7351 0.6476 0.6976 0.8068 standard bootstrap 0.8728 0.8917 0.7498 0.8720 0.9212 0.9760 balanced bootstrap 0.8750 0.8923 0.7523 0.8816 0.9256 0.977","balanced bootstrapping method performed slightly better than the standard bootstrapping method. This again shows that weighting the target instances more is a right direction to go for domain adaptation. 5 Related Work There have been several studies in NLP that address domain adaptation, and most of them need labeled data from both the source domain and the target domain. Here we highlight a few representative ones. For generative syntactic parsing, Roark and Bacchiani (2003) have used the source domain data to construct a Dirichlet prior for MAP estimation of the PCFG for the target domain.  <mask> ) use the parameters of the maximum entropy model learned from the source domain as the means of a Gaussian prior when training a new model on the target data. Florian et al. (2004) first train a NE tagger on the source domain, and then use the tagger’s predictions as features for training and testing on the target domain. The only work we are aware of that directly mod270 POS NE Type Spam method Oncology CTS WL u00 u01 u02 supervised 0.8630 0.7781 0.7351 0.6476 0.6976 0.8068 standard bootstrap 0.8728 0.8917 0.7498 0.8720 0.9212 0.9760 balanced bootstrap 0.8750 0.8923 0.7523 0.8816 0.9256 0.977","Chelba and Acero, 2004"
"Lee, 2008]. The result of the analyses performed have shown that the different types of text require specialized methods for sentiment analysis, as, for example, sentiments are not conveyed in the same manner in newspaper articles and in blogs, reviews, forums or other types of user-generated contents [Balahur et al., 2010]. In the light of these findings, dealing with sentiment analysis in tweets and SMS (that we can generally call “short informal texts”) requires an analysis of the characteristics of such texts and the design of adapted methods. Our participation in the SemEval 2013 Task 2 [ Wilson et al., 2013 ] had as objective to test how well our proposed methods for sentiment analysis for short informal texts (especially tweets) would perform. The two subtasks proposed in this competition were: a) the classification of sentiment from snippets from tweets and SMS marked as start and end position and b) the classification of sentiment from entire tweets and SMS. Each team could submit 2 runs for each dataset and task, one employing as training data only the data provided within the competition (“constrained”) and the second em460 Second Joint Conference on Lexical and Computational Semantics (*SEM","Lee, 2008]. The result of the analyses performed have shown that the different types of text require specialized methods for sentiment analysis, as, for example, sentiments are not conveyed in the same manner in newspaper articles and in blogs, reviews, forums or other types of user-generated contents [Balahur et al., 2010]. In the light of these findings, dealing with sentiment analysis in tweets and SMS (that we can generally call “short informal texts”) requires an analysis of the characteristics of such texts and the design of adapted methods. Our participation in the SemEval 2013 Task 2 [ <mask> ] had as objective to test how well our proposed methods for sentiment analysis for short informal texts (especially tweets) would perform. The two subtasks proposed in this competition were: a) the classification of sentiment from snippets from tweets and SMS marked as start and end position and b) the classification of sentiment from entire tweets and SMS. Each team could submit 2 runs for each dataset and task, one employing as training data only the data provided within the competition (“constrained”) and the second em460 Second Joint Conference on Lexical and Computational Semantics (*SEM","Wilson et al., 2013"
"nd Kilgarriff (forthcoming) also implicitly adopt the view of Harris (1954), according to which each sense distinction is reflected in a distinct context. A similar view underlies the class-based methods cited in Section 2.4.3 (Brown et al. 1992; Pereira and Tishby 1992; Pereira, Tishby, and Lee 1993). In this volume, Schiitze continues in this vein and proposes a technique that avoids the problem of sense distinction altogether: he creates sense clusters from a corpus rather than relying on a pre-established sense list. 3.2.4 Enumeration or generation? The development of generative lexicons ( Pustejovsky, 1995 ) provides a view of word senses that is very different from that of almost all WSD work to date. The enumerative approach assumes an a priori, established set of senses that exist independent of context—fundamentally the Aristotelian view. The generative approach develops a discourse-dependent representation of sense, assuming only underspecified sense assignments until context is taken into account, and bears closer relation to distributional and situational views of meaning. Considering the difficulties of determining an adequate and appropriate set of senses for WSD, it is surprising that l","nd Kilgarriff (forthcoming) also implicitly adopt the view of Harris (1954), according to which each sense distinction is reflected in a distinct context. A similar view underlies the class-based methods cited in Section 2.4.3 (Brown et al. 1992; Pereira and Tishby 1992; Pereira, Tishby, and Lee 1993). In this volume, Schiitze continues in this vein and proposes a technique that avoids the problem of sense distinction altogether: he creates sense clusters from a corpus rather than relying on a pre-established sense list. 3.2.4 Enumeration or generation? The development of generative lexicons ( <mask> ) provides a view of word senses that is very different from that of almost all WSD work to date. The enumerative approach assumes an a priori, established set of senses that exist independent of context—fundamentally the Aristotelian view. The generative approach develops a discourse-dependent representation of sense, assuming only underspecified sense assignments until context is taken into account, and bears closer relation to distributional and situational views of meaning. Considering the difficulties of determining an adequate and appropriate set of senses for WSD, it is surprising that l","Pustejovsky, 1995"
" 34/25 42/27 50/38 30/25 41/33 45/33 37/29 37.5 / 30.9 -14.93 CCV2 55/48 49/31 50/38 22/21 57/50 46/32 31/22 43.7 / 35.5 -14.45 Table 2: Test set attachment accuracies for 18 languages; first number in each cell is accuracy for sentences < 10 words and second is for all sentences. For training, sentences < 10 words from each treebank were used. In order, languages are Basque, Bulgarian, Catalan, Chinese, Czech, Danish, Dutch, English, German, Greek, Hungarian, Italian, Japanese, Portuguese, Slovenian, Spanish, Swedish, and Turkish. Data We use data prepared for the CoNLL 2006/07 shared tasks ( Buchholz and Marsi, 2006 ; Nivre et al., 2007).4 We follow standard practice in removing punctuation and using short sentences (< 10 or < 20 words) for training. For all experiments, we train on separate data from that used for testing and use gold POS tags for both training and testing. We report accuracy on (i) test set sentences <10 words and (ii) all sentences from the test set. Results Results for English are shown in Tab. 1. We train on §2–21 and test on §23 in the Penn Treebank. The constraint on sentence roots helps a great deal, as CCV2 by itself is competitive with the DMV when testing on short sentences. Th"," 34/25 42/27 50/38 30/25 41/33 45/33 37/29 37.5 / 30.9 -14.93 CCV2 55/48 49/31 50/38 22/21 57/50 46/32 31/22 43.7 / 35.5 -14.45 Table 2: Test set attachment accuracies for 18 languages; first number in each cell is accuracy for sentences < 10 words and second is for all sentences. For training, sentences < 10 words from each treebank were used. In order, languages are Basque, Bulgarian, Catalan, Chinese, Czech, Danish, Dutch, English, German, Greek, Hungarian, Italian, Japanese, Portuguese, Slovenian, Spanish, Swedish, and Turkish. Data We use data prepared for the CoNLL 2006/07 shared tasks ( <mask> ; Nivre et al., 2007).4 We follow standard practice in removing punctuation and using short sentences (< 10 or < 20 words) for training. For all experiments, we train on separate data from that used for testing and use gold POS tags for both training and testing. We report accuracy on (i) test set sentences <10 words and (ii) all sentences from the test set. Results Results for English are shown in Tab. 1. We train on §2–21 and test on §23 in the Penn Treebank. The constraint on sentence roots helps a great deal, as CCV2 by itself is competitive with the DMV when testing on short sentences. Th","Buchholz and Marsi, 2006"
"e are usually narrowed to one specific domain and heavily rely on domain-specific vocabulary. For example, classifiers assign high weights to domain-specific terms such as “hotel”, “rooms”, or even the name of the hotels such as “Hilton” when trained on reviews on hotels. It is unclear whether these classifiers will perform well at detecting deception in other domains, e.g., Restaurant or Doctor reviews. Even in a single domain, e.g., Hotel, classifiers trained from reviews of one city (e.g., Chicago) may not be effective if directly applied to reviews from other cities (e.g., New York City) ( Li et al., 2013 b). In the examples in Table 1, we trained a linear SVM classifier on Ott’s Chicago-hotel dataset on unigram features and tested it on a couple of different domains (the details of data acquisition are illustrated in Section 3). Good performance is obtained on Chicago-hotel reviews (Ott et al., 2011), but not as good on New York City ones. The performance is reasonable in Restaurant reviews due to the many shared properties among restaurants and hotels, but suffers in Doctor settings. In this paper, we try to obtain a deeper understanding of the general nature of deceptive opinion spam. One co","e are usually narrowed to one specific domain and heavily rely on domain-specific vocabulary. For example, classifiers assign high weights to domain-specific terms such as “hotel”, “rooms”, or even the name of the hotels such as “Hilton” when trained on reviews on hotels. It is unclear whether these classifiers will perform well at detecting deception in other domains, e.g., Restaurant or Doctor reviews. Even in a single domain, e.g., Hotel, classifiers trained from reviews of one city (e.g., Chicago) may not be effective if directly applied to reviews from other cities (e.g., New York City) ( <mask> b). In the examples in Table 1, we trained a linear SVM classifier on Ott’s Chicago-hotel dataset on unigram features and tested it on a couple of different domains (the details of data acquisition are illustrated in Section 3). Good performance is obtained on Chicago-hotel reviews (Ott et al., 2011), but not as good on New York City ones. The performance is reasonable in Restaurant reviews due to the many shared properties among restaurants and hotels, but suffers in Doctor settings. In this paper, we try to obtain a deeper understanding of the general nature of deceptive opinion spam. One co","Li et al., 2013"
"otation, to the best of our knowledge). Second, in order to compare the output of our system to a rule-based SCF system that utilizes a supervised syntactic parser, we turn to a task-based evaluation. We aim to predict the degree of similarity between verb pairs and, following (Pado and Lapata, 2007) , we do so using a syntactic-based vector space model (VSM). We construct three VSMs - (a) one that derives features from our clusters; (b) one whose features come from the output of astate-of-the-art verb type level, rule based, SCF system (Reichart and Korhonen, 2013) that uses a modern parser ( Klein and Manning, 2003 ); and (c) a standard lexical VSM. Below we show that our system compares favorably in both evaluations. Data. We experimented with two datasets taken from different domains: labor legislation and environment (Quochi et al., 2012). These datasets were created through web crawling followed by domain filtering. Each sentence in both datasets may contain multiple verbs but only one target verb has been manually annotated with a SCF. The labour legislation domain dataset contains 4415 annotated verb instances (an d hence also 284 sentences) of 117 types, and the environmental domain dataset contain","otation, to the best of our knowledge). Second, in order to compare the output of our system to a rule-based SCF system that utilizes a supervised syntactic parser, we turn to a task-based evaluation. We aim to predict the degree of similarity between verb pairs and, following (Pado and Lapata, 2007) , we do so using a syntactic-based vector space model (VSM). We construct three VSMs - (a) one that derives features from our clusters; (b) one whose features come from the output of astate-of-the-art verb type level, rule based, SCF system (Reichart and Korhonen, 2013) that uses a modern parser ( <mask> ); and (c) a standard lexical VSM. Below we show that our system compares favorably in both evaluations. Data. We experimented with two datasets taken from different domains: labor legislation and environment (Quochi et al., 2012). These datasets were created through web crawling followed by domain filtering. Each sentence in both datasets may contain multiple verbs but only one target verb has been manually annotated with a SCF. The labour legislation domain dataset contains 4415 annotated verb instances (an d hence also 284 sentences) of 117 types, and the environmental domain dataset contain","Klein and Manning, 2003"
" research corpora are used to distinguish between influential and impactful researchers (Kataria et al., 2011) and to capture temporal topic trends (He et al., 2009). Despite several potential benefits mentioned above and the free availability of most research proceedings in NLP through the ACL Anthology1, the topical and temporal aspects of this corpus are yet to be fully studied in current literature. In this paper, we present our study on research proceedings of approximately two decades from two leading NLP conferences, namely ACL and EMNLP, to complement a previous study on this topic by  Hall et al., 2008 ). To the best of our knowledge, we are the first to characterize the developments in the NLP domain using a comparative study of two of its leading publication venues. Our contributions are summarized below: 1. We represent the NLP research corpus from approximately two decades as a keyphrasedocument matrix and apply Latent Dirichlet Allocation (Blei et al., 2003) to extract coherent topics from it (Newman et al., 2010). 2. We propose two novel representations for summarizing the venue proceedings in a given year. (1) The probabilistic representation expresses each venue as a probability distr"," research corpora are used to distinguish between influential and impactful researchers (Kataria et al., 2011) and to capture temporal topic trends (He et al., 2009). Despite several potential benefits mentioned above and the free availability of most research proceedings in NLP through the ACL Anthology1, the topical and temporal aspects of this corpus are yet to be fully studied in current literature. In this paper, we present our study on research proceedings of approximately two decades from two leading NLP conferences, namely ACL and EMNLP, to complement a previous study on this topic by  <mask> ). To the best of our knowledge, we are the first to characterize the developments in the NLP domain using a comparative study of two of its leading publication venues. Our contributions are summarized below: 1. We represent the NLP research corpus from approximately two decades as a keyphrasedocument matrix and apply Latent Dirichlet Allocation (Blei et al., 2003) to extract coherent topics from it (Newman et al., 2010). 2. We propose two novel representations for summarizing the venue proceedings in a given year. (1) The probabilistic representation expresses each venue as a probability distr","Hall et al., 2008"
", 2012), with local updates (Liu et al., 2012), a linear regression version of PRO (Bazrafshan et al., 2012), and a non-sampling version of PRO (Dreyer and Dong, 2015); another example is Rampeon (Gimpel and Smith, 2012). We refer the interested reader to three recent overviews on parameter optimization for SMT: (McAllester and Keshet, 2011; Cherry and Foster, 2012; Gimpel and Smith, 2012). Still, MERT remains the de-facto standard in the statistical machine translation community. Its stability has been of concern, and is widely studied. Suggestions to improve it include using regularization ( Cer et al., 2008 ), random restarts (Moore and Quirk, 2008), multiple replications (Clark et al., 2011), and parameter aggregation (Cettolo et al., 2011). With the emergence of new optimization techniques there have been also studies that compare stability between MIRA–MERT (Chiang et al., 2008; Chiang et al., 2009; Cherry and Foster, 2012), PRO–MERT (Hopkins and May, 2011), MIRA–PRO–MERT (Cherry and Foster, 2012; Gimpel and Smith, 2012; Nakov et al., 2012). Pathological verbosity was reported when using MERT on recall-oriented metrics such as METEOR (Lavie and Denkowski, 2009; Denkowski and Lavie, 2011), as we",", 2012), with local updates (Liu et al., 2012), a linear regression version of PRO (Bazrafshan et al., 2012), and a non-sampling version of PRO (Dreyer and Dong, 2015); another example is Rampeon (Gimpel and Smith, 2012). We refer the interested reader to three recent overviews on parameter optimization for SMT: (McAllester and Keshet, 2011; Cherry and Foster, 2012; Gimpel and Smith, 2012). Still, MERT remains the de-facto standard in the statistical machine translation community. Its stability has been of concern, and is widely studied. Suggestions to improve it include using regularization ( <mask> ), random restarts (Moore and Quirk, 2008), multiple replications (Clark et al., 2011), and parameter aggregation (Cettolo et al., 2011). With the emergence of new optimization techniques there have been also studies that compare stability between MIRA–MERT (Chiang et al., 2008; Chiang et al., 2009; Cherry and Foster, 2012), PRO–MERT (Hopkins and May, 2011), MIRA–PRO–MERT (Cherry and Foster, 2012; Gimpel and Smith, 2012; Nakov et al., 2012). Pathological verbosity was reported when using MERT on recall-oriented metrics such as METEOR (Lavie and Denkowski, 2009; Denkowski and Lavie, 2011), as we","Cer et al., 2008"
"ations. We further follow the PRO settings introduced in (Ganitkevitch et al., 2012) but use 0.5 for the coefficient T that interpolates the weights learned at the current with those from the previous iteration. We use the final learned weights for decoding with the log-linear model and report Lowercase BLEU scores for the tuned test set. 5.1.3 Specific choices and settings Moses Lattice MBR experiments As mentioned before we use Moses (Hoang et al., 2007) for our second experiment, in combination with Lattice Minimum Bayes-Risk Decoding5 (Tromble et al., 2008). Furthermore we use Batch Mira ( Cherry and Foster, 2012 ) for tuning with maximum 10 tuning iterations of the 200K training set, and 30 for the 1000K training set.7 For our Moses experiments we mainly worked with a uniform labeling policy, labeling phrase pairs in the same way with alignment labels as normal rules. This is motivated by the fact that since we are using Minimum Bayes-Risk decoding, the risks of sparsity from labeling are much reduced. And labeling everything does have the advantage that reorder7We are mostly interested in the relative performance of our system in comparison to the baseline for the same settings. Nevertheless, it might","ations. We further follow the PRO settings introduced in (Ganitkevitch et al., 2012) but use 0.5 for the coefficient T that interpolates the weights learned at the current with those from the previous iteration. We use the final learned weights for decoding with the log-linear model and report Lowercase BLEU scores for the tuned test set. 5.1.3 Specific choices and settings Moses Lattice MBR experiments As mentioned before we use Moses (Hoang et al., 2007) for our second experiment, in combination with Lattice Minimum Bayes-Risk Decoding5 (Tromble et al., 2008). Furthermore we use Batch Mira ( <mask> ) for tuning with maximum 10 tuning iterations of the 200K training set, and 30 for the 1000K training set.7 For our Moses experiments we mainly worked with a uniform labeling policy, labeling phrase pairs in the same way with alignment labels as normal rules. This is motivated by the fact that since we are using Minimum Bayes-Risk decoding, the risks of sparsity from labeling are much reduced. And labeling everything does have the advantage that reorder7We are mostly interested in the relative performance of our system in comparison to the baseline for the same settings. Nevertheless, it might","Cherry and Foster, 2012"
" for the target word and comparing it against the sense information stored for that word. A seminal knowledge-based example is the Lesk algorithm (Lesk, 1986) which disambiguates a pair of target terms in context by comparing their respective dictionary definitions and selecting the two with the greatest number of words in common. Though simple, the Lesk algorithm performs surprisingly well, and has frequently served as the basis of more sophisticated approaches. In recent years, Lesk variants in which the contexts and definitions are supplemented with entries from a distributional thesaurus ( Lin, 1998 ) have achieved state-of-the-art performance for knowledge-based systems on standard data sets (Miller et al., 2012; Basile et al., 2014). In traditional word sense disambiguation, the part of speech and lemma of the target word are usually known a priori, or can be determined with high accuracy using off-the-shelf natural language processing tools. The pool of candidate senses can therefore be restricted to those whose lexicalizations exactly match the target lemma and part of speech. No such help is available for puns, at least not in the general case. Take the following two examples: (5) Tom"," for the target word and comparing it against the sense information stored for that word. A seminal knowledge-based example is the Lesk algorithm (Lesk, 1986) which disambiguates a pair of target terms in context by comparing their respective dictionary definitions and selecting the two with the greatest number of words in common. Though simple, the Lesk algorithm performs surprisingly well, and has frequently served as the basis of more sophisticated approaches. In recent years, Lesk variants in which the contexts and definitions are supplemented with entries from a distributional thesaurus ( <mask> ) have achieved state-of-the-art performance for knowledge-based systems on standard data sets (Miller et al., 2012; Basile et al., 2014). In traditional word sense disambiguation, the part of speech and lemma of the target word are usually known a priori, or can be determined with high accuracy using off-the-shelf natural language processing tools. The pool of candidate senses can therefore be restricted to those whose lexicalizations exactly match the target lemma and part of speech. No such help is available for puns, at least not in the general case. Take the following two examples: (5) Tom","Lin, 1998"
