masked_cit_context,masked_token_target,citing_title,citing_abstract,target_title,target_abstract
"ntify candidate triggers. Those rules are, for instance, NN/NNS + of + PROTEIN, VBN + PROTEIN and so on. Event triggers are diverse in lexical and ambiguous in classification (Björne et al. (2009) and <mask> ). Candidate triggers are classified by a dictionary. The dictionary containing words of triggers with their corresponding classes is built from training corpus. For ambiguous trigger classes, the cla","Buyko et al., 2009",A Pattern Approach for Biomedical Event Annotation,We describe our approach for the GENIA Event Extraction in the Main Task of BioNLP Shared Task 2011. There are two important parts in our method: Event Trigger Annotation and Event Extraction. We use rules and dictionary to annotate event triggers. Event extraction is based on patterns created from dependent graphs. We apply UIMA Framework to support all stages in our system.,Event Extraction from Trimmed Dependency Graphs,"We describe the approach to event extraction which the JULIELab Team from FSU Jena (Germany) pursued to solve Task 1 in the “BioNLP’09 Shared Task on Event Extraction”. We incorporate manually curated dictionaries and machine learning methodologies to sort out associated event triggers and arguments on trimmed dependency graph structures. Trimming combines pruning irrelevant lexical material from a dependency graph and decorating particularly relevant lexical material from that graph with more abstract conceptual class information. Given that methodological framework, the JULIELab Team scored on 2nd rank among 24 competing teams, with 45.8% precision, 47.5% recall and 46.7% F1-score on all 3,182 events."
"Functional Grammar [LFG] (O’OTHERCIT), Head-Driven Phrase Structure Grammar [HPSG] (OTHERCIT) and Probabilistic Context-Free Grammars [PCFG] ( <mask>  ; OTHERCIT). The latter has incorporated valence features of verbs to PCFGs and observe slight improvements on global performances. However, the incorporation of syntactic data on part-of-speech tags ","Briscoe and Carroll, 1997",French parsing enhanced with a word clustering method based on asyntactic lexicon,"This article evaluates the integration of data extracted from a French syntactic lexicon, the Lexicon-Grammar (Gross, 1994), into a probabilistic parser. We show that by applying clustering methods on verbs of the French Treebank (Abeill´e et al., 2003), we obtain accurate performances on French with a parser based on a Probabilistic Context-Free Grammar (Petrov et al., 2006).",Automatic Extraction of Subcategorization from Corpora,"We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora. Each dictionary entry encodes the relative frequency of occurrence of a comprehensive set of subcategorization classes for English. An initial experiment, on a sample of 14 verbs which exhibit multiple complementation patterns, demonstrates that the technique achieves accuracy comparable to previous approaches, which are all limited to a highly restricted set of subcategorization classes. We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount'."
"uted representation and CWS. Distributed representation are useful for various NLP tasks, such as POS tagging (OTHERCIT), machine translation (OTHERCIT) and parsing (OTHERCIT). Influenced by OTHERCIT, <mask> modeled CWS as tagging and treated sentence-level tag sequence as the combination of individual tag predictions and context-independent tag transition. OTHERCIT was inspired by OTHERCIT and used chara","Zheng et al., 2013",Accurate Linear-Time Chinese Word Segmentation via Embedding Matching Jianqiang,"This paper proposes an embedding matching approach to Chinese word segmentation, which generalizes the traditional sequence labeling framework and takes advantage of distributed representations. The training and prediction algorithms have linear-time complexity. Based on the proposed model, a greedy segmenter is developed and evaluated on benchmark corpora. Experiments show that our greedy segmenter achieves improved results over previous neural network-based word segmenters, and its performance is competitive with state-of-the-art methods, despite its simple feature set and the absence of external resources for training.",Deep Learning for Chinese Word Segmentation and POS Tagging,"This study explores the feasibility of performing Chinese word segmentation (CWS) and POS tagging by deep learning. We try to avoid task-specific feature engineering, and use deep layers of neural networks to discover relevant features to the tasks. We leverage large-scale unlabeled data to improve internal representation of Chinese characters, and use these improved representations to enhance supervised word segmentation and POS tagging models. Our networks achieved close to state-of-theart performance with minimal computational cost. We also describe a perceptron-style algorithm for training the neural networks, as an alternative to maximum-likelihood method, to speed up the training process and make the learning algorithm easier to be implemented."
"such as coordination, Noun-Noun compounds and relative clause attachment) can be resolved using such a kind of information, and relations can provide a useful interface between syntax and semantics. ( <mask> had shown the use of dependency in Prepositional Phrase disambiguation, and the experimental results reported in (OTHERCIT) demonstrate that a language model which encodes a rich notion of predicate a","Hindle and Rooth, 1991",Dependency and relational structure in treebank annotation,"Among the variety of proposals currently making the dependency perspective on grammar more concrete, there are several treebanks whose annotation exploits some form of Relational Structure that we can consider a generalization of the fundamental idea of dependency at various degrees and with reference to different types of linguistic knowledge. The paper describes the Relational Structure as the common underlying representation of treebanks which is motivated by both theoretical and task-dependent considerations. Then it presents a system for the annotation of the Relational Structure in treebanks, called Augmented Relational Structure, which allows for a systematic annotation of various components of linguistic knowledge crucial in several tasks. Finally, it shows a dependency-based annotation for an Italian treebank, i.e. the Turin University Treebank, that implements the Augmented Relational Structure.",STRUCTURAL AMBIGUITY AND LEXICAL RELATIONS,"We propose that ambiguous prepositional phrase attachment can be resolved on the basis of the relative strength of association of the preposition with noun and verb, estimated on the basis of word distribution in a large corpus. This work suggests that a distributional approach can be effective in resolving parsing problems that apparently call for complex reasoning."
"alt.html 2OTHERCIT http://nlp.cs.lth. se/software/treebank_converter/ Regime (1) is very commonly done in papers which report dependency parsing experiments (e.g., ( <mask>  ; OTHERCIT)). Penn2Malt uses the head finding table from OTHERCIT. Regime (2) is based on the recommendations of the two converter tools; as of the date of this writing, the Penn2Malt website","McDonald and Pereira, 2006",Attacking Parsing Bottlenecks with Unlabeled Data and RelevantFactorizations,"Prepositions and conjunctions are two of the largest remaining bottlenecks in parsing. Across various existing parsers, these two categories have the lowest accuracies, and mistakes made have consequences for downstream applications. Prepositions and conjunctions are often assumed to depend on lexical dependencies for correct resolution. As lexical statistics based on the training set only are sparse, unlabeled data can help ameliorate this sparsity problem. By including unlabeled data features into a factorization of the problem which matches the representation of prepositions and conjunctions, we achieve a new state-of-the-art for English dependencies with 93.55% correct attachments on the current standard. Furthermore, conjunctions are attached with an accuracy of 90.8%, and prepositions with an accuracy of 87.4%.",Online Learning of Approximate Dependency Parsing Algorithms,"In this paper we extend the maximum spanning tree (MST) dependency parsing framework of McDonald et al. (2005c) to incorporate higher-order feature representations and allow dependency structures with multiple parents per word. We show that those extensions can make the MST framework computationally intractable, but that the intractability can be circumvented with new approximate parsing algorithms. We conclude with experiments showing that discriminative online learning using those approximate algorithms achieves the best reported parsing accuracy for Czech and Danish."
"re required for co-training to work, but the independence assumption can be relaxed. In the past, co-training has been successfully applied to statistical parsing (Sarkar 2001), reference resolution ( <mask> , part-of-speech tagging (OTHERCIT), word sense disambiguation (Mihalcea 2004), and e-mail classification (OTHERCIT). Cotraining has not yet been used for cross-domain or cross-lingual text categoriza","Ng and Cardie, 2003",Bilingual Co-Training for SentimentClassification of Chinese Product Reviews,"Sentiment classification is the task of identifying the sentiment polarity of a given text, which is traditionally categorized as either positive or negative. In recent years, sentiment classification has drawn much attention in the natural language processing (NLP) field and it has many useful applications, such as opinion mining and summarization (Liu, Hu, and Cheng 2005; Ku, Liang, and Chen 2006; Titov and McDonald 2008). To date, a variety of lexicon-based and corpus-based methods have been developed for sentiment classification. The lexicon-based methods rely heavily on a sentiment lexicon containing positive terms and negative terms. The corpus-based methods rely heavily on an annotated corpus for training a sentiment classifier. The sentiment lexicon and corpus are considered the most valuable resources for the sentiment classification task. However, such resources in different languages are rather unbalanced. Because most previous work focuses on English sentiment classification, many annotated sentiment lexica and corpora for English sentiment classification in",Weakly Supervised Natural Language Learning Without Redundant Views,"We investigate single-view algorithms as an alternative to multi-view algorithms for weakly supervised learning for natural language processing tasks without a natural feature split. In particular, we apply co-training, self-training, and EM to one such task and find that both selftraining and FS-EM, a new variation ofEM that incorporates feature selection, outperform cotraining and are comparatively less sensitive to parameter changes."
"rigger, we examine the P(ti|E) of each event type, and only retain the rule for which the P(ti|E) is higher. Compared to the “once a trigger, always a trigger” method employed in other work (OTHERCIT; <mask> , triggers are treated in a more flexible way in our work. A token is not necessarily always a trigger unless it appears in the appropriate context. Also, the same token can serve as trigger for diffe","Kilicoglu and Bergler, 2009",From Graphs to Events: A Subgraph Matching Approachfor Information Eextraction from Biomedical Text,"We participated in the BioNLP Shared Task 2011, addressing the GENIA event extraction (GE) and the Epigenetics and Post-translational Modifications (EPI) tasks. A graph-based approach is employed to automatically learn rules for detecting biological events in the life-science literature. The event rules are learned by identifying the key contextual dependencies from full syntactic parsing of annotated text. Event recognition is performed by searching for an isomorphism between event rules and the dependency graphs of sentences in the input texts. While we explored methods such as performance-based rule ranking to improve precision, we merged rules across multiple event types in order to increase recall. We achieved a 41.13% F-score in detecting events of nine types in the Task 1 of the GE task, and a 52.67% F-score in identifying events across fifteen types in the core task of the EPI task. Our performance on both tasks is comparable to the state-of-the-",Syntactic Dependency Based Heuristics for Biological Event Extraction,"We explore a rule-based methodology for the BioNLP’09 Shared Task on Event Extraction, using dependency parsing as the underlying principle for extracting and characterizing events. We approach the speculation and negation detection task with the same principle. Evaluation results demonstrate the utility of this syntax-based approach and point out some shortcomings that need to be addressed in future work."
" semantic contribution. A possible explanation is that in order to use the set of all possible assignments (required by Kmax), we needed to prune the ”too large” syntactic trees as also suggested in ( <mask>  . This may have negatively biased the statistical distribution of tree fragment pairs. Finally, although we show that Kp is better 30 Kernels RTE1 RTE2 ¬ P P ¬ P P Ks 54.9 50.0","Zanzotto and Moschitti, 2006",Encoding Tree Pair-based Graphs in Learning Algorithms:the Textual Entailment Recognition Case,"In this paper, we provide a statistical machine learning representation of textual entailment via syntactic graphs constituted by tree pairs. We show that the natural way of representing the syntactic relations between text and hypothesis consists in the huge feature space of all possible syntactic tree fragment pairs, which can only be managed using kernel methods. Experiments with Support Vector Machines and our new kernels for paired trees show the validity of our interpretation.",Automatic learning of textual entailments with cross-pair similarities,In this paper we define a novel similarity measure between examples of textual entailments and we use it as a kernel function in Support Vector Machines (SVMs). This allows us to automatically learn the rewrite rules that describe a non trivial set of entailment cases. The experiments with the data sets of the RTE 2005 challenge show an improvement of 4.4% over the state-of-the-art methods.
"omplexity and the novelty of the task, we exploit structural kernels to automatically engineer novel features. In particular, we define an efficient tree kernel derived from the Partial Tree Kernel, ( <mask> a), suitable for encoding structural representation of comments into Support Vector Machines (SVMs). Finally, our results show that our models are adaptable, especially when the structural information","Moschitti, 2006",Opinion Mining on YouTube,This paper defines a systematic approach to Opinion Mining (OM) on YouTube comments by (i) modeling classifiers for predicting the opinion polarity and the type of comment and (ii) proposing robust shallow syntactic structures for improving model adaptability. We rely on the tree kernel technology to automatically extract and learn features with better generalization power than bag-of-words. An extensive empirical evaluation on our manually annotated YouTube comments corpus shows a high classification accuracy and highlights the benefits of structural models in a cross-domain setting.,Making Tree Kernels practical for Natural Language Learning,"In recent years tree kernels have been proposed for the automatic learning of natural language applications. Unfortunately, they show (a) an inherent super linear complexity and (b) a lower accuracy than traditional attribute/value methods. In this paper, we show that tree kernels are very helpful in the processing of natural language as (a) we provide a simple algorithm to compute tree kernels in linear average running time and (b) our study on the classification properties of diverse tree kernels show that kernel combinations always improve the traditional methods. Experiments with Support Vector Machines on the predicate argument classification task provide empirical support to our thesis."
tives from the National Transportation Safety Board database (ACCS). The same data and similar methods were used by OTHERCIT to compare their probabilistic approach for ordering sentences with that of <mask> . This paper discusses how the Centering-based metrics of coherence employed by Karamanis et al. can be evaluated on the data prepared by Barzilay and Lapata. This is the first time that Centering is ,"Lapata, 2003",Evaluating Centering for Sentence Ordering in Two New DomainsNikiforos KaramanisNatural Language and Information Processing GroupComputer LaboratoryUniversity of Cambridge,"This paper builds on recent research investigating sentence ordering in text production by evaluating the Centering-based metrics of coherence employed by Karamanis et al. (2004) using the data of Barzilay and Lapata (2005). This is the first time that Centering is evaluated empirically as a sentence ordering constraint in several domains, verifying the results reported in Karamanis et al.",Probabilistic Text Structuring: Experiments with Sentence Ordering,Ordering information is a critical task for natural language generation applications. In this paper we propose an approach to information ordering that is particularly suited for text-to-text generation. We describe a model that learns constraints on sentence order from a corpus of domainspecific texts and an algorithm that yields the most likely order among several alternatives. We evaluate the automatically generated orderings against authored texts from our corpus and against human subjects that are asked to mimic the model’s task. We also assess the appropriateness of such a model for multidocument summarization.
" this type of outside probability estimate to include both word translation and n-gram language model probabilities. These measures have been used to guide search in word- or phrase-based MT systems ( <mask> ; OTHERCIT), but in such models optimal search is generally not practical even with good heuristics. In this paper, we show that the same assumptions that make ITG polynomial-time can be used to effic","Wang and Waibel, 1997",Efficient Search for Inversion Transduction Grammar,"We develop admissible A* search heuristics for synchronous parsing with Inversion Transduction Grammar, and present results both for bitext alignment and for machine translation decoding. We also combine the dynamic programming hook trick with A* search for decoding. These techniques make it possible to find optimal alignments much more quickly, and make it possible to find optimal translations for the first time. Even in the presence of pruning, we are able to achieve higher BLEU scores with the same amount of computation.",Decoding Algorithm in Statistical Machine Translation,Decoding algorithm is a crucial part in statistical machine translation. We describe a stack decoding algorithm in this paper. We present the hypothesis scoring method and the heuristics used in our algorithm. We report several techniques deployed to improve the performance of the decoder. We also introduce a simplified model to moderate the sparse data problem and to speed up the decoding process. We evaluate and compare these techniques/models in our statistical machine translation system.
"ificant interest in domain adaptation for statistical machine translation. One of the approaches to domain adaptation is selecting a subset of a data that is closer to the target domain ((OTHERCIT), ( <mask> ). • Improve translation quality: An interesting area of research is selecting a subset of the training data that is more suitable for statistical machine translation learning ((OTHERCIT)). In compari","Axelrod et al., 2011",Dramatically Reducing Training Data Size Through VocabularySaturation,"Our field has seen significant improvements in the quality of machine translation systems over the past several years. The single biggest factor in this improvement has been the accumulation of ever larger stores of data. However, we now find ourselves the victims of our own success, in that it has become increasingly difficult to train on such large sets of data, due to limitations in memory, processing power, and ultimately, speed (i.e., data to models takes an inordinate amount of time). Some teams have dealt with this by focusing on data cleaning to arrive at smaller data sets (Denkowski et al., 2012a; Rarrick et al., 2011), “domain adaptation” to arrive at data more suited to the task at hand (Moore and Lewis, 2010; Axelrod et al., 2011), or by specifically focusing on data reduction by keeping only as much data as is needed for building models e.g., (Eck et al., 2005). This paper focuses on techniques related to the latter",Domain Adaptation via Pseudo In-Domain Data Selection,"We explore efficient domain adaptation for the task of statistical machine translation based on extracting sentences from a large generaldomain parallel corpus that are most relevant to the target domain. These sentences may be selected with simple cross-entropy based methods, of which we present three. As these sentences are not themselves identical to the in-domain data, we call them pseudo in-domain subcorpora. These subcorpora – 1% the size of the original – can then used to train small domain-adapted Statistical Machine Translation (SMT) systems which outperform systems trained on the entire corpus. Performance is further improved when we use these domain-adapted models in combination with a true in-domain model. The results show that more training data is not always better, and that best results are attained via proper domain-relevant data selection, as well as combining in- and general-domain systems during decoding."
"he NAACL HLT 2010 Student Research Workshop, pages 7–12, Los Angeles, California, June 2010. c�2010 Association for Computational Linguistics While studying the coherence patterns in student essays, ( <mask> identified that grammatical errors affect the overall expressive quality of the essays. In this paper, due to the lack of an appropriate baseline and due to the interesting-ness of the above observati","Higgins et al., 2004","On Automated Evaluation of Readability of Summaries:Capturing Grammaticality, Focus, Structure and Coherence","Readability of a summary is usually graded manually on five aspects of readability: grammaticality, coherence and structure, focus, referential clarity and non-redundancy. In the context of automated metrics for evaluation of summary quality, content evaluations have been presented through the last decade and continue to evolve, however a careful examination of readability aspects of summary quality has not been as exhaustive. In this paper we explore alternative evaluation metrics for ‘grammaticality’ and ‘coherence and structure’ that are able to strongly correlate with manual ratings. Our results establish that our methods are able to perform pair-wise ranking of summaries based on grammaticality, as strongly as ROUGE is able to distinguish for content evaluations. We observed that none of the five aspects of readability are independent of each other, and hence by addressing the individual criterion of evaluation we aim to achieve automated appreciation of readability of summaries.",Evaluating Multiple Aspects of Coherence in Student Essays,"CriterionSM Online Essay Evaluation Service includes a capability that labels sentences in student writing with essay-based discourse elements (e.g., thesis statements). We describe a new system that enhances Criterion’s capability, by evaluating multiple aspects of coherence in essays. This system identifies features of sentences based on semantic similarity measures and discourse structure. A support vector machine uses these features to capture breakdowns in coherence due to relatedness to the essay question and relatedness between discourse elements. Intra-sentential quality is evaluated with rule-based heuristics. Results indicate that the system yields higher performance than a baseline on all three aspects."
"hrase tables and language models which are used in conventional systems. Finally, the decoder of an NMT system is easy to implement, unlike the highly intricate decoders used by phrase-based systems ( <mask> . Despite these advantages, conventional NMT systems are incapable of translating rare words because they have a fixed modest-sized vocabulary1 which forces them to use the unk symbol to represent the","Koehn et al., 2003",Addressing the Rare Word Problem inNeural Machine Translation,"Neural Machine Translation (NMT) is a new approach to machine translation that has shown promising results that are comparable to traditional approaches. A significant weakness in conventional NMT systems is their inability to correctly translate very rare words: end-to-end NMTs tend to have relatively small vocabularies with a single unk symbol that represents every possible out-of-vocabulary (OOV) word. In this paper, we propose and implement an effective technique to address this problem. We train an NMT system on data that is augmented by the output of a word alignment algorithm, allowing the NMT system to emit, for each OOV word in the target sentence, the position of its corresponding word in the source sentence. This information is later utilized in a post-processing step that translates every OOV word using a dictionary. Our experiments on the WMT’14 English to French translation task show that this method provides a substantial improvement of up to 2.8 BLE",Statistical Phrase-Based Translation,"We propose a new phrase-based translation model and decoding algorithm that enables us to evaluate and compare several, previously proposed phrase-based translation models. Within our framework, we carry out a large number of experiments to understand better and explain why phrase-based models outperform word-based models. Our empirical results, which hold for all examined language pairs, suggest that the highest levels of performance can be obtained through relatively simple means: heuristic learning of phrase translations from word-based alignments and lexical weighting of phrase translations. Surprisingly, learning phrases longer than three words and learning phrases from high-accuracy wordlevel alignment models does not have a strong impact on performance. Learning only syntactically motivated phrases degrades the performance of our systems."
nt data sets and extrinsic evaluation on two tasks: sentence similarity identification and paraphrase detection. 5.1.1 Alignment We adopt the evaluation procedure for aligners reported in prior work ( <mask>  ; Thadani and McOTHERCIT). Aligner P % R % Fi % E % MacOTHERCIT 85.4 85.3 85.3 21.3 Thadani & McOTHERCIT 89.5 86,"MacCartney et al., 2008",Feature-Rich Two-Stage Logistic Regression for Monolingual Alignment,"Monolingual alignment is the task of pairing semantically similar units from two pieces of text. We report a top-performing supervised aligner that operates on short text snippets. We employ a large feature set to (1) encode similarities among semantic units (words and named entities) in context, and (2) address cooperation and competition for alignment among units in the same snippet. These features are deployed in a two-stage logistic regression framework for alignment. On two benchmark data sets, our aligner achieves F1 scores of 92.1% and 88.5%, with statistically significant error reductions of 4.8% and 7.3% over the previous best aligner. It produces top results in extrinsic evaluation as well.",A Phrase-Based Alignment Model for Natural Language Inference,"The alignment problem—establishing links between corresponding phrases in two related sentences—is as important in natural language inference (NLI) as it is in machine translation (MT). But the tools and techniques of MT alignment do not readily transfer to NLI, where one cannot assume semantic equivalence, and for which large volumes of bitext are lacking. We present a new NLI aligner, the MANLI system, designed to address these challenges. It uses a phrase-based alignment representation, exploits external lexical resources, and capitalizes on a new set of supervised training data. We compare the performance of MANLI to existing NLI and MT aligners on an NLI alignment task over the well-known Recognizing Textual Entailment data. We show that MANLI significantly outperforms existing aligners, achieving gains of 6.2% in F, over a representative NLI aligner and 10.5% over GIZA++."
" K¸ k�1 Eprs, es,kqδ��epfs; λM 1q, es,k�+ with M¸ λmhmpe,fsq+(4) M1 In ( <mask>  , it was shown that linear models can effectively be trained under the MERT criterion using a special line optimization algorithm. This line optimization determines for each feature function hm and se","Och, 2003",Lattice-based Minimum Error Rate Trainingfor Statistical Machine Translation,"Minimum Error Rate Training (MERT) is an effective means to estimate the feature function weights of a linear model such that an automated evaluation criterion for measuring system performance can directly be optimized in training. To accomplish this, the training procedure determines for each feature function its exact error surface on a given set of candidate translations. The feature function weights are then adjusted by traversing the error surface combined over all sentences and picking those values for which the resulting error count reaches a minimum. Typically, candidates in MERT are represented as Nbest lists which contain the N most probable translation hypotheses produced by a decoder. In this paper, we present a novel algorithm that allows for efficiently constructing and representing the exact error surface of all translations that are encoded in a phrase lattice. Compared to N-best MERT, the number of candidate translations thus taken into account increases by several orders of magnitudes. The proposed method is used to train the feature function weights of a phrase-based statistical machine translation system. Experiments",Minimum Error Rate Training in Statistical Machine Translation,"Often, the training procedure for statistical machine translation models is based on maximum likelihood or related criteria. A general problem of this approach is that there is only a loose relation to the final translation quality on unseen text. In this paper, we analyze various training criteria which directly optimize translation quality. These training criteria make use of recently proposed automatic evaluation metrics. We describe a new algorithm for efficient training an unsmoothed error count. We show that significantly better results can often be obtained if the final evaluation criterion is taken directly into account as part of the training procedure."
"p1(x, a) n lb.p2(a, b) n p3(b, e) is expressed compactly in λ-DCS as p1.p2.p3.e. Like DCS ( <mask>  , λ-DCS makes existential quantification implicit, thereby reducing the number of variables. Variables are only used for anaphora and building composite binary predicates; these do not appear in simpl","Liang et al., 2011",Semantic Parsing on Freebase from Question-Answer Pairs,"In this paper, we train a semantic parser that scales up to Freebase. Instead of relying on annotated logical forms, which is especially expensive to obtain at large scale, we learn from question-answer pairs. The main challenge in this setting is narrowing down the huge number of possible logical predicates for a given question. We tackle this problem in two ways: First, we build a coarse mapping from phrases to predicates using a knowledge base and a large text corpus. Second, we use a bridging operation to generate additional predicates based on neighboring predicates. On the dataset of Cai and Yates (2013), despite not having annotated logical forms, our system outperforms their state-of-the-art parser. Additionally, we collected a more realistic and challenging dataset of question-answer pairs and improves over a natural baseline.",Learning Dependency-Based Compositional Semantics,"Compositional question answering begins by mapping questions to logical forms, but training a semantic parser to perform this mapping typically requires the costly annotation of the target logical forms. In this paper, we learn to map questions to answers via latent logical forms, which are induced automatically from question-answer pairs. In tackling this challenging learning problem, we introduce a new semantic representation which highlights a parallel between dependency syntax and efficient evaluation of logical forms. On two standard semantic parsing benchmarks (GEO and JOBS), our system obtains the highest published accuracies, despite requiring no annotated logical forms."
"ral Connectives and Modifiers Several researchers have developed models that incorporate aspectual class to assess temporal constraints between connected clauses (OTHERCIT; Dorr 1992; Passonneau 1988; <mask> ; OTHERCIT). For example, stativity must be identified to detect temporal constraints between clauses connected with when. For example, in interpreting, (7) She had good strength when objectively test","Moens and Steedman, 1988",Learning Methods to Combine LinguisticIndicators: Improving AspectualClassification and Revealing LinguisticInsights,"Aspectual classification maps clauses (e.g., simple sentences) to a small set of categories in order to reason about time. For example, events, such as, You called your father her, are distinguished from states, such as, You resemble your father her. The ability to distinguish stative clauses from event clauses is a fundamental component of natural language understanding. These two high-level categories correspond to fundamental distinctions in many domains, including the distinctions between diagnosis and procedure in the medical domain, and between analysis and activity in the financial domain. Stativity is the first high-level distinction made when defining the aspectual class of a clause. Events are further distinguished according to completedness (sometimes called telicity), which determines whether an event reaches a culmination or completion point at which a new state is introduced. For example, I made afire is culminated, since a new state is introduced—something is made, whereas I gazed at the sunset is nonculminated. Aspectual classification",TEMPORAL ONTOLOGY AND TEMPORAL REFERENCE,"It is often assumed that the semantics of temporal expressions is directly related to the linear time concept familiar from high-school physics—that is, to a model based on the number line. However, there are good reasons for suspecting that such a conception is not the one that our linguistic categories are most directly related to. When-clauses provide an example of the mismatch between linguistic temporal categories and a semantics based on such an assumption. Consider the following examples, suggested by Ritchie 1979: To map the temporal relations expressed in these examples onto linear time, and to try to express the semantics of when in terms of points or intervals (possibly associated with events), would appear to imply either that when is multiply ambiguous, allowing these points or intervals to be temporally related in at least three different ways, or that the relation expressed between main and when-clauses is one of approximate coincidence. However, neither of these tactics explains the peculiarity of utterances like the following: The unusual"
"words” as “words that can be understood by a wide variety of people, including for example people with low literacy levels or some cognitive disability, children, and non-native speakers of English” ( <mask>  et al., 2012). Feature r NGMsf 0.33 NGMsf+1 0.27 NGMsf−1 0.27 Lsf -0.26 Lmax -0.26 RIproto(l) -0","Specia et al., 2012",EMNLP@CPH: Is frequency all there is to simplicity?,"Our system breaks down the problem of ranking a list of lexical substitutions according to how simple they are in a given context into a series of pairwise comparisons between candidates. For this we learn a binary classifier. As only very little training data is provided, we describe a procedure for generating artificial unlabeled data from Wordnet and a corpus and approach the classification task as a semisupervised machine learning problem. We use a co-training procedure that lets each classifier increase the other classifier’s training set with selected instances from an unlabeled data set. Our features include n-gram probabilities of candidate and context in a web corpus, distributional differences of candidate in a corpus of “easy” sentences and a corpus of normal sentences, syntactic complexity of documents that are similar to the given context, candidate length, and letter-wise recognizability of candidate as measured by a trigram character language model.",SemEval-2012 Task 1: English Lexical Simplification,"We describe the English Lexical Simplification task at SemEval-2012. This is the first time such a shared task has been organized and its goal is to provide a framework for the evaluation of systems for lexical simplification and foster research on context-aware lexical simplification approaches. The task requires that annotators and systems rank a number of alternative substitutes – all deemed adequate – for a target word in context, according to how “simple” these substitutes are. The notion of simplicity is biased towards non-native speakers of English. Out of nine participating systems, the best scoring ones combine contextdependent and context-independent information, with the strongest individual contribution given by the frequency of the substitute regardless of its context."
"nodes based on global topological information. Recently, a number of graph-based approaches have been suggested for NLP applications. OTHERCIT introduced LexRank for multi-document text summarization. <mask> introduced TextRank for keyword and sentence extractions. Both LexRank and TextRank assume a fully connected, undirected graph, with text units as nodes and similarity as edges. After graph constructi","Mihalcea and Tarau, 2004",Timestamped Graphs: Evolutionary Models of Text forMulti-document Summarization,"Current graph-based approaches to automatic text summarization, such as LexRank and TextRank, assume a static graph which does not model how the input texts emerge. A suitable evolutionary text graph model may impart a better understanding of the texts and improve the summarization process. We propose a timestamped graph (TSG) model that is motivated by human writing and reading processes, and show how text units in this model emerge over time. In our model, the graphs used by LexRank and TextRank are specific instances of our timestamped graph with particular parameter settings. We apply timestamped graphs on the standard DUC multi-document text summarization task and achieve comparable results to the state of the art.",TextRank: Bringing Order into Texts,"In this paper, we introduce TextRank – a graph-based ranking model for text processing, and show how this model can be successfully used in natural language applications. In particular, we propose two innovative unsupervised methods for keyword and sentence extraction, and show that the results obtained compare favorably with previously published results on established benchmarks."
"l set by introducing a label collapsing algorithm to SAMT grammars (OTHERCIT). Yet another solution is easing restrictions on label matching. OTHERCIT penalize substitution with unmatched labels while <mask> uses soft match features to model substitutions with various labels. Similar to OTHERCIT decorate some hierarchical rules with source-side syntax information and use undecorated, decorated, and partia","Chiang, 2010",Learning Semantic Representations for Nonterminalsin Hierarchical Phrase-Based Translation,"In hierarchical phrase-based translation, coarse-grained nonterminal Xs may generate inappropriate translations due to the lack of sufficient information for phrasal substitution. In this paper we propose a framework to refine nonterminals in hierarchical translation rules with real-valued semantic representations. The semantic representations are learned via a weighted mean value and a minimum distance method using phrase vector representations obtained from large scale monolingual corpus. Based on the learned semantic vectors, we build a semantic nonterminal refinement model to measure semantic similarities between phrasal substitutions and nonterminal Xs in translation rules. Experiment results on ChineseEnglish translation show that the proposed model significantly improves translation quality on NIST test sets.",Learning to Translate with Source and Target Syntax,"Statistical translation models that try to capture the recursive structure of language have been widely adopted over the last few years. These models make use of varying amounts of information from linguistic theory: some use none at all, some use information about the grammar of the target language, some use information about the grammar of the source language. But progress has been slower on translation models that are able to learn the relationship between the grammars of both the source and target language. We discuss the reasons why this has been a challenge, review existing attempts to meet this challenge, and show how some old and new ideas can be combined into a simple approach that uses both source and target syntax for significant improvements in translation accuracy."
"t to be .3 The time taken to parse the same set of sentences was again dramatically reduced (the total time taken was 21K seconds). However, the disadvantage of this method was that the coverage of 3( <mask> shows that to get greater than 97% accuracy using SuperTagging the value of must be quite high ( ). They use a different set of SuperTags and so we used their result simply to get an approximate estim","Chen et al., 1999",Some Experiments on Indicators ofParsing Complexity for Lexicalized Grammars,"In this paper, we identify syntactic lexical ambiguity and sentence complexity as factors that contribute to parsing complexity in fully lexicalized grammar formalisms such as Lexicalized Tree Adjoining Grammars. We also report on experiments that explore the effects of these factors on parsing complexity. We discuss how these constraints can be exploited in improving efficiency of parsers for such grammar formalisms.",New Models for Improving Supertag Disambiguation,"In previous work, supertag disambiguation has been presented as a robust partial parsing technique. In this paper we present two approaches: contextual models, which exploit a variety of features in order to improve supertag performance, and class-based models, which assign sets of supertags to words in order to substantially improve accuracy with only a slight increase in ambiguity."
